track	session	map_type	response_type	set	blackX	blackY	redX	redY	isHigher
1	train	concurrent	active	n/a	0	0	3	-3	black
2	train	concurrent	memory	n/a	0	-2	2	1	red
3	scan	concurrent	active	A	-1	0	2	-3	black
4	scan	concurrent	memory	B	0	2	3	-1	black
5	scan	concurrent	active	B	-1	-3	2	3	red
6	scan	concurrent	memory	A	-1	-1	3	3	red
7	train	augmented	memory	n/a	-3	0	0	-3	red
8	train	augmented	active	n/a	-3	-2	2	2	red
9	scan	augmented	memory	B	-3	-2	1	0	black
10	scan	augmented	active	A	-3	-3	-1	1	black
11	scan	augmented	active	B	-3	0	1	-3	black
12	scan	augmented	memory	A	-3	3	0	1	red
13	train	sequential	active	n/a	-2	-3	3	1	black
14	train	sequential	memory	n/a	-3	2	1	-2	black
15	scan	sequential	active	A	-2	-1	1	2	black
16	scan	sequential	memory	B	-2	2	3	3	red
17	scan	sequential	memory	A	-1	3	2	0	red
18	scan	sequential	active	B	-2	3	3	2	red